Time,Event
2025-05-18 10:31:21,FL Server Train Started
2025-05-18 10:31:23,Round: 1 Test Started
2025-05-18 10:31:24,Round: 1 Test Ended
2025-05-18 10:31:32,Round: 2 Test Started
2025-05-18 10:31:32,Round: 2 Test Ended
2025-05-18 10:31:42,Round: 3 Test Started
2025-05-18 10:31:42,Round: 3 Test Ended
2025-05-18 10:31:45,FL Server Train Ended
